,District,Households surveyed,Women age 15-49 years interviewed,Men age 15-49 years interviewed,1. Population (female) age 6+ years who ever attended school (%),3. Sex ratio of the total population (females per 1000 males),4. Sex ratio at birth for children born in the last five years (females per 1000 males),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),29. Mothers who had antenatal check-up in the first trimester (%),30. Mothers who had at least 4 antenatal care visits (%),31. Mothers whose last birth was protected against neonatal tetanus6 (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),33. Mothers who had full antenatal care7 (%),35. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),39. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),40. Institutional births (%),42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),91. Cervix (%),92. Breast (%),93. Oral cavity (%),State,Region,Zone
138,Purbi Singhbhum,1138.29,1352.1,161.22,80.91,1005.16,971.01,70.95,69.06,83.37,94.65,59.08,16.18,35.55,76.65,65.94,94.57,19.63,14.12,41.21,7.7,87.2,3.01,62.49,37.58,24.64,18.1,16.7,28.2,14.69,59.38,60.56,11.51,8.32,2.99,JH,Urban,Eastern Zone
139,Purbi Singhbhum,908.84,959.02,133.09,56.11,996.2,815.06,8.9,4.43,54.56,73.15,21.1,38.06,24.66,42.75,34.92,94.09,10.57,5.62,33.46,6.33,76.11,5.27,77.33,56.58,25.52,11.52,11.11,50.15,27.96,73.65,74.79,4.94,3.36,1.81,JH,Rural,Eastern Zone
142,Palamu,1214.9,1257.27,177.82,53.35,1002.27,1053.19,10.68,6.81,52.46,74.59,21.15,46.03,24.0,34.44,19.14,81.51,7.48,2.58,25.45,12.01,51.44,12.78,54.94,51.99,33.28,3.88,4.81,46.27,32.41,59.42,52.67,9.5,4.41,2.19,JH,Rural,Eastern Zone
145,Latehar,507.48,527.79,58.26,56.11,1014.34,837.04,9.58,3.19,49.9,68.46,18.03,38.33,25.0,26.47,13.44,78.82,7.05,2.45,32.21,8.26,49.62,8.6,53.22,53.35,31.97,6.13,7.92,44.87,30.96,48.99,53.22,11.19,4.79,4.49,JH,Rural,Eastern Zone
148,Hazaribagh,1047.55,1317.89,169.74,60.76,1009.64,862.6,17.12,10.06,58.64,83.5,29.82,48.5,55.19,55.41,35.62,90.76,12.13,9.0,55.65,33.36,74.26,7.94,71.93,69.18,41.06,1.69,1.65,51.34,33.38,66.85,61.62,13.95,5.22,4.09,JH,Rural,Eastern Zone
150,Ramgarh,303.89,369.58,50.52,74.39,993.9,960.93,51.04,33.2,80.98,81.39,47.63,22.88,39.96,52.6,43.7,94.51,21.36,13.94,50.81,35.03,78.3,5.95,64.94,44.54,32.91,8.11,7.65,31.16,23.41,73.55,64.2,13.15,4.64,5.87,JH,Urban,Eastern Zone
151,Ramgarh,389.81,462.92,62.22,62.03,1005.01,979.25,30.1,5.81,69.23,82.8,32.04,32.1,41.39,50.4,26.68,94.95,17.63,9.4,43.69,30.14,66.29,13.95,66.9,53.2,38.4,5.68,5.46,44.92,33.02,69.61,70.23,6.99,1.54,2.84,JH,Rural,Eastern Zone
154,Dumka,1063.52,1064.04,144.22,55.72,1018.91,1030.49,7.67,3.87,48.7,69.76,11.46,48.61,33.5,58.07,27.94,95.01,12.82,5.27,41.86,24.9,52.6,7.77,75.6,49.95,30.9,16.59,16.44,44.6,38.95,76.0,65.59,11.41,2.92,3.74,JH,Rural,Eastern Zone
157,Jamtara,604.39,675.92,101.27,53.77,982.24,898.17,10.13,1.2,43.67,76.47,11.64,46.91,37.79,60.23,26.61,93.95,12.74,8.08,42.36,19.07,57.79,13.97,61.65,45.39,34.45,9.41,9.42,43.64,38.38,76.31,65.7,7.22,2.76,2.18,JH,Rural,Eastern Zone
159,Ranchi,965.84,1188.7,156.59,81.85,940.1,847.86,66.17,75.79,85.48,90.24,61.32,20.35,36.02,78.49,59.22,97.19,44.08,29.04,65.63,30.14,87.61,2.83,70.85,51.34,37.98,8.36,12.21,23.99,18.68,49.5,53.08,9.58,4.08,12.08,JH,Urban,Eastern Zone
160,Ranchi,1317.02,1399.44,188.87,62.19,975.02,1165.18,16.96,12.11,62.37,81.63,30.69,34.28,41.36,64.07,27.16,96.59,27.27,9.7,42.98,21.19,69.82,9.09,65.86,56.86,38.6,3.68,4.33,51.85,37.89,74.13,73.81,3.84,2.7,3.81,JH,Rural,Eastern Zone
163,Khunti,374.32,402.45,55.23,56.23,970.2,1079.01,10.34,2.76,55.96,70.51,23.07,29.51,32.79,53.08,42.14,91.82,23.74,12.52,41.34,18.76,65.16,9.11,69.34,62.31,27.97,12.04,11.79,40.84,25.96,65.99,64.83,14.03,7.81,1.61,JH,Rural,Eastern Zone
166,Gumla,660.84,724.41,83.17,64.02,1062.84,988.1,13.34,5.93,66.24,82.1,25.57,25.05,22.92,45.31,24.2,88.1,19.44,6.26,42.8,23.22,67.78,5.99,58.57,68.48,30.86,10.0,9.59,46.51,28.53,73.51,70.36,3.93,1.83,1.9,JH,Rural,Eastern Zone
169,Simdega,408.13,400.06,51.58,57.65,1038.45,1161.28,4.7,1.79,55.67,73.94,21.68,15.83,22.87,38.67,12.53,93.28,6.72,1.48,25.74,12.69,45.6,7.0,52.53,54.72,33.21,17.28,16.99,39.95,31.08,81.85,78.92,4.16,2.52,5.78,JH,Rural,Eastern Zone
172,Pashchimi Singhbhum,971.97,1005.72,107.57,46.17,1042.96,983.66,10.32,2.42,43.0,64.02,14.32,22.9,13.1,16.1,10.03,81.54,10.07,3.13,21.27,9.57,33.02,4.02,48.14,34.91,31.68,0.91,0.86,62.94,34.38,84.23,75.44,4.13,1.42,3.2,JH,Rural,Eastern Zone
175,Saraikela Kharsawan,659.2,720.62,110.47,57.65,968.64,908.13,9.29,4.09,52.68,78.62,24.52,36.42,23.62,56.44,21.2,95.37,19.9,4.65,48.2,15.49,61.31,7.96,74.53,57.4,54.27,6.3,5.97,47.08,41.34,82.43,83.37,3.24,2.04,3.68,JH,Rural,Eastern Zone
177,Bargarh,1075.27,1179.8,169.82,69.07,1023.05,956.36,23.67,9.44,68.39,87.03,23.25,13.16,51.7,79.88,62.45,97.82,43.16,25.65,81.47,29.4,91.54,2.07,82.9,68.68,70.58,4.18,3.71,39.8,31.96,68.18,69.18,20.0,1.99,4.76,OR,Rural,Eastern Zone
179,Jharsuguda,166.17,205.14,27.3,80.63,972.14,960.2,57.06,53.15,82.26,91.82,47.01,13.62,58.31,83.09,78.52,98.84,48.8,35.7,90.21,37.89,95.94,1.86,69.46,80.91,72.72,8.48,8.47,24.57,18.57,65.91,66.0,30.79,10.48,11.41,OR,Urban,Eastern Zone
180,Jharsuguda,259.38,297.39,40.32,70.92,994.73,1044.71,29.53,11.81,71.86,83.83,28.37,9.41,56.69,74.14,71.48,95.95,50.46,37.06,87.47,26.64,94.64,1.16,85.66,68.97,72.69,10.38,10.73,42.48,34.13,67.96,71.34,28.89,3.34,6.18,OR,Rural,Eastern Zone
182,Sambalpur,545.5,587.35,76.59,68.71,1038.82,1078.96,23.37,8.54,69.84,82.35,19.77,7.53,47.87,69.7,81.84,98.27,41.35,33.93,71.25,22.42,87.04,2.53,78.6,52.73,67.01,5.5,5.31,44.15,32.23,75.27,75.61,27.18,3.69,5.57,OR,Rural,Eastern Zone
184,Debagarh,220.77,222.15,25.08,68.05,1080.04,1161.25,29.51,4.85,65.24,79.06,23.22,24.5,30.53,49.49,58.14,93.1,34.13,19.52,70.33,24.54,84.72,2.92,67.99,70.21,72.24,10.28,9.68,33.18,32.52,29.22,42.83,19.57,5.49,3.26,OR,Rural,Eastern Zone
186,Sundargarh,501.3,621.14,86.13,79.22,997.76,1032.45,60.4,55.96,76.89,84.58,46.3,13.05,45.78,69.18,81.11,96.08,48.11,39.57,82.76,38.55,91.4,1.15,80.74,76.51,72.54,16.03,16.03,34.93,21.24,64.64,68.61,27.56,7.21,11.62,OR,Urban,Eastern Zone
187,Sundargarh,924.98,1145.83,130.43,65.08,1064.51,1038.09,25.7,7.62,64.06,84.66,28.78,16.86,49.99,75.43,80.4,98.87,38.82,30.51,76.77,42.57,86.63,2.2,88.32,59.76,80.87,16.01,14.97,38.3,30.32,80.29,72.84,29.67,6.77,7.28,OR,Rural,Eastern Zone
189,Kendujhar,1103.31,1184.78,131.12,60.52,1059.33,859.38,13.36,8.53,62.72,83.67,23.73,30.29,32.17,46.44,40.05,83.08,42.15,19.56,61.65,31.8,72.67,3.03,76.61,68.97,58.58,9.31,9.66,44.24,31.24,29.08,40.39,24.01,7.88,9.22,OR,Rural,Eastern Zone
191,Mayurbhanj,1613.75,1677.69,205.58,57.27,1038.54,992.39,14.78,5.49,55.82,78.5,21.21,36.09,31.77,64.67,73.4,91.45,34.04,24.35,73.97,32.99,85.12,5.09,73.41,73.79,59.51,8.03,7.39,44.58,33.17,35.06,42.03,32.22,9.84,6.15,OR,Rural,Eastern Zone
193,Baleshwar,1491.31,1632.0,194.53,72.9,1089.9,959.17,33.29,8.3,74.45,91.81,28.07,23.2,32.07,51.63,57.74,91.06,15.93,8.65,71.92,29.57,92.49,2.96,79.53,66.34,60.89,4.69,4.97,32.09,26.6,29.05,41.03,18.6,7.57,1.98,OR,Rural,Eastern Zone
195,Bhadrak,927.3,1057.76,111.35,76.54,1080.04,895.23,19.1,7.9,75.73,91.66,28.14,7.13,27.65,57.16,33.23,88.9,24.57,11.04,61.03,19.22,87.03,1.6,89.53,76.34,67.96,6.78,6.01,36.66,31.15,22.4,44.09,10.22,3.4,5.05,OR,Rural,Eastern Zone
197,Kendrapara,975.71,1084.54,95.27,77.56,1132.68,1019.83,24.66,13.0,80.65,79.28,29.61,12.1,52.52,63.16,52.22,96.75,22.91,13.48,83.64,28.21,94.03,2.39,75.71,61.38,63.77,13.14,11.79,27.15,25.05,29.15,42.76,29.47,10.02,3.56,OR,Rural,Eastern Zone
199,Jagatsinghapur,725.27,819.2,89.89,78.99,1068.64,921.51,31.4,9.28,85.59,94.24,39.62,8.47,44.3,75.83,81.91,97.02,47.05,36.12,92.73,48.93,97.42,0.0,85.4,81.9,66.71,13.96,13.19,19.37,18.03,22.7,35.92,37.05,10.08,10.36,OR,Rural,Eastern Zone
201,Cuttack,1336.47,1388.22,181.52,78.01,985.63,1028.35,27.64,18.71,83.36,92.57,27.65,15.7,37.87,71.01,47.36,91.52,27.15,12.18,73.7,17.33,96.02,0.99,74.46,82.34,69.73,6.53,7.55,12.44,21.99,16.06,36.45,9.37,4.39,7.59,OR,Rural,Eastern Zone
203,Jajapur,1137.63,1344.64,173.71,76.27,1029.95,700.5,29.27,13.29,78.65,89.0,34.46,8.41,48.72,47.62,51.65,90.68,41.3,21.17,80.41,38.8,94.66,1.09,88.57,78.08,53.25,11.58,12.07,30.13,28.39,30.75,43.77,35.49,4.22,7.15,OR,Rural,Eastern Zone
205,Dhenkanal,791.41,840.37,114.38,70.09,1027.83,1040.68,26.51,13.04,69.79,81.13,28.85,27.77,51.48,62.83,66.2,98.8,35.77,22.43,80.84,36.96,88.86,4.23,85.34,66.54,75.86,7.82,7.38,28.65,27.8,40.2,40.75,24.22,2.47,2.62,OR,Rural,Eastern Zone
207,Anugul,760.13,896.46,108.71,71.21,935.54,864.53,30.46,15.71,68.56,83.05,24.25,22.76,50.51,72.54,66.97,99.36,35.66,25.02,85.85,41.41,89.61,2.64,90.05,62.47,76.84,7.17,6.94,33.57,23.49,35.55,44.53,21.27,1.6,4.23,OR,Rural,Eastern Zone
209,Nayagarh,638.2,684.99,76.54,73.45,1012.78,752.71,29.52,17.8,74.4,87.48,20.22,31.29,49.04,46.1,55.36,92.14,36.56,21.33,74.38,34.98,91.87,1.46,88.79,83.99,61.81,7.89,7.89,27.83,16.93,26.66,39.89,36.67,7.01,8.69,OR,Rural,Eastern Zone
211,Khordha,926.93,1022.01,134.96,81.3,953.88,1139.45,65.94,67.69,79.77,97.62,44.62,20.11,48.3,66.01,65.12,95.57,36.37,21.2,63.58,12.53,76.4,2.14,66.24,77.25,66.21,4.83,5.53,24.6,12.1,13.15,44.11,18.67,2.46,8.98,OR,Urban,Eastern Zone
212,Khordha,763.82,824.82,92.13,77.86,1011.68,813.09,24.09,20.01,81.22,87.8,30.44,15.38,49.29,70.04,55.36,94.19,31.4,15.21,78.92,12.81,93.87,1.27,79.45,75.93,72.95,13.6,12.77,24.76,19.2,24.61,46.7,20.22,2.7,7.96,OR,Rural,Eastern Zone
214,Puri,1032.56,1219.53,134.77,78.72,1015.19,955.27,36.75,14.06,82.61,92.11,29.47,7.47,53.68,80.38,80.27,97.23,48.99,41.02,91.81,36.3,97.39,1.47,91.26,82.12,65.79,18.78,19.12,16.71,16.84,29.0,44.85,51.56,9.23,15.68,OR,Rural,Eastern Zone
216,Ganjam,1847.42,1960.39,195.08,60.7,1121.93,717.23,31.67,21.24,58.66,82.12,15.01,31.61,48.44,47.16,43.51,95.81,26.4,10.68,75.55,20.92,90.06,3.69,56.22,49.81,78.37,3.7,3.16,31.19,23.12,41.4,43.68,28.84,3.97,2.98,OR,Rural,Eastern Zone
218,Gajapati,353.73,378.9,56.1,50.35,1020.74,762.35,34.26,11.66,42.11,58.51,15.11,24.82,52.69,60.5,47.89,92.36,22.6,11.7,45.27,20.02,61.2,6.99,46.96,50.84,73.71,3.79,3.24,34.03,24.07,59.78,59.54,26.49,6.1,4.91,OR,Rural,Eastern Zone
220,Kandhamal,481.44,573.1,71.89,57.48,1064.56,1023.97,14.79,4.63,54.8,82.9,16.84,22.03,47.18,68.26,64.07,96.79,45.01,31.33,67.56,37.05,71.26,5.31,73.52,78.52,54.08,10.67,10.35,39.47,28.92,42.37,52.93,49.54,9.19,11.83,OR,Rural,Eastern Zone
222,Baudh,314.52,352.99,45.59,68.2,993.43,1026.09,15.46,9.94,64.01,82.36,17.8,23.53,43.42,74.21,73.46,98.33,42.85,30.44,74.53,33.22,82.11,5.5,94.2,63.7,89.75,10.16,10.16,42.79,31.46,43.6,49.57,25.77,5.36,3.87,OR,Rural,Eastern Zone
224,Subarnapur,435.4,515.39,64.91,69.13,1036.01,1000.67,14.06,9.58,68.92,85.16,25.36,22.36,51.6,68.07,85.03,96.17,52.64,48.38,86.0,46.25,92.97,3.57,92.59,75.13,82.32,15.03,14.48,47.12,33.26,73.69,69.21,34.15,6.73,10.12,OR,Rural,Eastern Zone
226,Balangir,1247.85,1397.73,165.06,63.1,1037.54,1091.24,10.79,4.96,59.62,83.53,19.0,14.27,51.32,75.12,76.63,99.15,47.47,32.69,78.72,38.6,87.62,4.15,91.76,48.29,81.96,9.07,8.35,44.41,34.54,67.99,61.14,25.51,6.18,4.06,OR,Rural,Eastern Zone
228,Nuapada,449.19,518.15,57.02,56.28,1052.78,994.8,18.52,5.77,48.29,77.45,18.55,19.74,43.23,73.04,75.32,99.0,43.73,31.73,70.03,35.45,84.13,4.04,84.28,57.89,84.73,2.97,2.81,36.37,35.07,65.55,65.82,29.25,6.97,7.81,OR,Rural,Eastern Zone
230,Kalahandi,1146.19,1121.57,131.0,48.85,1021.97,872.9,10.52,3.24,42.91,69.06,15.82,22.94,46.37,69.45,44.59,92.28,33.93,13.35,58.5,10.59,72.6,6.88,89.25,77.23,70.58,3.81,4.66,37.32,36.12,69.63,70.6,21.9,2.45,5.45,OR,Rural,Eastern Zone
232,Rayagada,565.75,633.18,84.85,38.88,1082.83,973.16,16.48,7.43,29.05,55.55,8.7,37.14,43.42,47.94,57.95,89.85,52.4,26.86,66.99,38.73,68.96,10.06,72.55,71.29,70.89,11.46,10.76,46.45,35.63,51.48,56.69,32.32,5.87,10.43,OR,Rural,Eastern Zone
234,Nabarangapur,755.58,938.44,125.51,46.35,1031.57,1072.9,13.88,5.21,38.36,58.7,8.04,37.54,48.91,67.85,70.0,96.98,34.96,24.96,67.66,34.92,63.4,4.97,71.48,77.26,60.92,11.22,10.97,46.64,37.18,72.71,71.52,47.26,8.27,8.94,OR,Rural,Eastern Zone
236,Koraput,846.2,875.16,100.23,41.96,1021.86,880.31,13.2,9.69,33.58,68.18,10.1,34.04,49.04,53.09,58.51,94.69,32.8,19.37,45.32,18.82,63.67,6.32,64.77,53.25,71.66,2.06,2.89,43.74,37.41,73.12,67.61,25.92,5.63,4.31,OR,Rural,Eastern Zone
238,Malkangiri,395.19,444.0,51.74,42.42,1023.95,902.02,16.09,3.86,32.63,59.85,9.8,39.89,45.66,55.87,69.76,89.69,40.01,33.3,69.55,39.94,67.18,10.64,75.9,63.37,66.47,17.58,17.12,47.16,47.53,72.6,71.4,36.33,4.19,7.67,OR,Rural,Eastern Zone
240,Nandurbar,662.0,771.0,90.0,51.8,1026.0,1050.0,18.6,12.0,42.3,53.4,21.4,24.6,53.4,53.5,52.6,80.5,38.5,26.5,52.0,27.3,52.5,10.4,32.7,71.1,63.1,3.5,2.7,49.7,45.3,60.8,61.6,35.6,23.5,14.9,MH,Rural,Western Zone
242,Dhule,558.0,637.0,118.0,63.1,912.0,805.0,21.3,26.2,52.5,84.1,21.5,41.2,61.3,52.3,59.8,86.0,12.1,9.5,64.6,40.0,67.9,14.4,40.3,81.3,57.4,22.1,19.5,42.1,31.9,68.6,53.3,52.8,41.9,41.0,MH,Rural,Western Zone
247,Buldana,616.0,659.0,97.0,72.5,944.0,875.0,40.3,21.1,74.3,89.4,26.3,37.3,72.9,72.2,74.9,87.2,20.5,13.8,75.3,44.6,82.6,5.6,69.2,61.6,29.5,0.0,0.0,46.2,29.6,44.1,44.3,51.2,26.1,8.6,MH,Rural,Western Zone
249,Akola,387.0,554.0,63.0,89.0,1003.0,1068.0,63.0,81.4,88.5,90.4,53.4,7.4,62.8,84.9,84.7,93.7,33.1,28.8,74.2,27.0,93.9,2.3,38.3,60.3,45.2,0.0,0.0,26.9,22.1,59.2,40.2,41.8,10.5,10.9,MH,Urban,Western Zone
250,Akola,404.0,475.0,80.0,83.0,959.0,878.0,38.0,23.4,82.0,90.5,39.6,15.0,67.3,78.9,78.4,95.7,34.1,30.8,82.9,37.4,91.1,2.5,57.1,78.3,71.6,0.0,0.0,47.7,27.0,50.5,37.8,32.7,9.3,11.0,MH,Rural,Western Zone
252,Washim,655.0,709.0,110.0,72.9,944.0,947.0,34.0,22.9,73.6,92.0,32.6,25.0,74.7,70.9,65.3,94.2,34.0,22.4,77.1,45.6,84.2,4.1,68.8,68.3,61.6,9.0,8.0,41.8,28.4,63.7,36.4,49.0,30.2,28.3,MH,Rural,Western Zone
255,Amravati,404.0,427.0,54.0,78.3,975.0,1120.0,55.6,32.2,81.9,88.8,42.5,18.4,72.0,61.2,72.6,97.1,53.4,41.0,65.4,27.6,91.7,1.5,64.8,75.2,63.6,5.9,7.5,42.1,29.9,48.8,45.5,46.2,21.4,14.5,MH,Rural,Western Zone
260,Nagpur,619.0,714.0,99.0,88.7,1028.0,1027.0,77.3,87.6,89.4,98.0,57.6,6.1,63.5,88.9,75.1,97.4,52.1,49.6,85.1,49.9,97.0,1.0,80.5,87.0,62.0,0.3,7.1,33.9,19.5,43.5,45.0,32.4,11.9,12.8,MH,Urban,Western Zone
263,Bhandara,658.0,659.0,105.0,77.5,992.0,1162.0,64.2,30.3,86.8,90.2,48.3,5.4,75.1,78.0,81.1,95.5,32.4,25.9,85.1,48.5,98.3,1.7,78.1,66.0,29.4,0.0,0.0,38.2,35.9,45.4,57.2,51.3,25.2,8.8,MH,Rural,Western Zone
265,Gondiya,671.0,700.0,111.0,76.2,1022.0,994.0,51.9,17.1,83.5,89.7,40.6,6.4,65.9,70.2,75.2,95.6,69.8,57.8,70.3,32.6,93.1,3.8,77.4,74.4,67.7,3.8,4.8,34.5,38.3,57.2,56.5,50.5,18.3,10.8,MH,Rural,Western Zone
267,Gadchiroli,707.0,750.0,123.0,63.8,979.0,1167.0,27.9,14.5,70.1,90.0,33.5,9.5,71.9,80.9,76.5,98.8,49.6,45.5,68.9,47.7,86.2,7.3,81.4,70.6,62.0,9.6,9.0,30.9,28.9,59.8,51.0,49.6,34.3,35.9,MH,Rural,Western Zone
272,Yavatmal,632.0,714.0,117.0,72.7,967.0,912.0,34.3,23.8,71.8,92.0,29.1,20.8,71.7,65.9,66.7,96.2,32.1,23.5,72.1,44.7,82.9,5.9,61.7,83.2,58.0,6.7,7.1,53.4,30.3,73.7,48.9,51.2,36.2,30.1,MH,Rural,Western Zone
274,Nanded,585.0,702.0,137.0,64.9,1005.0,905.0,33.9,14.5,72.9,86.7,20.8,41.8,60.9,68.3,67.6,93.7,41.1,28.3,70.6,33.1,81.0,6.0,48.5,62.6,67.7,0.9,4.3,42.9,34.2,54.7,45.6,44.1,11.2,9.4,MH,Rural,Western Zone
276,Hingoli,649.0,732.0,115.0,64.8,1006.0,965.0,35.1,16.0,65.8,92.5,20.3,42.1,66.1,64.0,62.8,93.7,43.4,32.9,62.4,18.2,82.6,7.7,67.5,64.4,57.4,8.8,8.3,40.2,30.4,53.6,42.7,45.1,20.9,17.2,MH,Rural,Western Zone
278,Parbhani,380.0,448.0,69.0,77.2,959.0,905.0,57.6,63.6,81.4,91.7,39.1,24.5,67.5,76.5,77.1,91.6,37.9,30.1,82.2,37.4,89.5,6.4,49.3,63.9,34.7,3.8,3.1,41.7,18.2,46.6,47.9,51.0,23.2,7.9,MH,Urban,Western Zone
279,Parbhani,391.0,468.0,71.0,60.2,1027.0,1223.0,23.6,10.3,65.8,81.7,15.8,49.5,68.6,70.5,80.3,93.1,27.9,21.1,84.7,44.5,84.0,8.9,52.5,71.4,55.5,2.0,4.0,48.5,37.5,54.4,45.7,57.8,29.3,9.3,MH,Rural,Western Zone
281,Jalna,634.0,688.0,104.0,63.4,938.0,861.0,30.0,9.9,63.5,90.3,21.5,53.7,66.4,63.6,64.6,88.7,45.8,34.2,65.9,26.3,92.2,4.6,74.1,70.0,68.1,0.0,3.4,47.0,29.9,49.3,42.8,52.4,27.6,21.9,MH,Rural,Western Zone
283,Aurangabad,373.0,438.0,73.0,80.4,941.0,1066.0,61.3,84.7,83.7,92.6,46.4,34.8,61.6,67.5,78.1,93.0,16.2,12.5,90.9,28.9,99.4,0.0,70.8,78.0,43.5,0.0,0.0,35.4,14.7,31.5,42.5,46.4,23.0,7.8,MH,Urban,Western Zone
286,Nashik,374.0,454.0,85.0,85.8,1013.0,887.0,64.1,87.1,88.3,92.8,43.5,31.2,63.0,84.2,52.6,93.7,42.5,24.3,83.6,45.8,95.5,0.6,58.9,68.0,64.0,0.0,1.9,43.7,20.4,52.1,56.2,28.4,10.0,8.8,MH,Urban,Western Zone
287,Nashik,381.0,497.0,78.0,74.5,986.0,844.0,38.9,39.4,75.0,91.4,35.6,27.6,69.2,66.3,65.8,85.7,39.3,28.2,66.6,24.9,73.3,6.9,66.1,63.3,65.4,0.0,0.0,43.2,32.2,54.0,52.9,33.9,11.6,10.2,MH,Rural,Western Zone
289,Thane,531.0,543.0,97.0,85.7,905.0,747.0,72.0,87.0,82.4,91.3,54.5,16.9,59.5,58.9,73.0,83.5,56.1,46.4,86.1,17.5,92.4,3.2,42.5,67.4,54.5,9.7,11.4,31.8,13.7,51.5,45.3,46.9,25.5,14.3,MH,Urban,Western Zone
291,Mumbai Suburban,668.0,673.0,100.0,82.9,869.0,932.0,26.7,87.1,82.0,94.5,43.3,14.6,59.6,57.5,82.0,87.1,36.7,31.3,81.8,33.9,93.9,4.4,50.1,82.6,58.0,14.2,14.2,21.3,15.1,70.0,50.4,41.2,33.7,30.2,MH,Urban,Western Zone
293,Mumbai,649.0,608.0,62.0,87.2,906.0,1033.0,39.2,89.2,90.5,98.1,52.9,10.6,53.1,60.6,80.7,91.6,52.7,43.5,84.8,31.1,97.4,0.0,45.6,81.1,49.8,3.5,6.4,25.5,17.8,65.7,49.4,39.4,26.5,18.6,MH,Urban,Western Zone
296,Raigarh,385.0,404.0,54.0,71.8,971.0,730.0,55.7,54.8,76.5,88.7,31.6,26.0,63.4,59.2,64.8,94.1,53.4,40.0,74.8,40.4,91.6,1.5,42.4,80.5,58.0,7.6,11.7,39.5,31.0,56.4,61.1,31.2,14.7,14.7,MH,Rural,Western Zone
299,Pune,380.0,398.0,79.0,74.3,878.0,786.0,60.9,59.8,82.9,98.9,39.3,34.6,71.0,87.3,83.2,92.1,59.2,51.4,86.4,31.1,94.2,1.8,79.2,59.3,70.4,2.5,7.0,22.5,23.4,53.8,49.3,40.2,17.3,12.4,MH,Rural,Western Zone
301,Ahmadnagar,603.0,638.0,84.0,71.9,926.0,878.0,45.5,49.8,79.3,92.4,42.5,42.1,44.3,57.0,59.0,86.2,19.9,12.7,80.2,35.3,94.2,2.2,40.6,77.4,46.7,5.0,4.2,34.7,25.6,43.4,44.8,53.3,28.4,14.2,MH,Rural,Western Zone
303,Bid,618.0,614.0,101.0,58.6,932.0,1013.0,35.9,19.4,63.6,95.2,29.7,48.6,66.9,60.1,71.1,85.3,21.4,15.6,74.3,39.3,92.8,5.9,53.0,79.3,58.8,12.0,14.0,37.6,21.7,58.6,33.6,54.7,38.4,34.3,MH,Rural,Western Zone
305,Latur,584.0,669.0,116.0,65.6,966.0,971.0,34.9,21.9,75.2,91.6,33.1,38.7,66.2,62.3,74.6,89.5,40.5,33.1,82.7,17.5,89.7,2.6,64.2,62.0,51.5,5.8,7.1,37.1,25.3,56.3,37.2,47.2,13.4,11.2,MH,Rural,Western Zone
307,Osmanabad,654.0,635.0,107.0,65.4,955.0,752.0,25.3,25.2,76.3,92.5,34.7,30.8,70.8,54.7,71.9,87.8,37.7,30.0,74.5,14.0,86.2,4.4,65.3,69.5,66.1,4.3,8.5,44.0,23.7,37.1,33.6,49.7,19.7,10.9,MH,Rural,Western Zone
309,Solapur,383.0,503.0,65.0,80.9,990.0,976.0,60.3,82.4,83.2,93.9,45.3,25.8,60.7,66.5,76.6,87.9,56.9,46.4,77.5,36.1,96.8,1.1,78.9,61.3,66.8,5.6,4.7,27.8,16.9,50.2,48.6,38.8,13.5,12.6,MH,Urban,Western Zone
310,Solapur,390.0,428.0,72.0,67.4,950.0,747.0,44.3,36.2,72.5,93.3,29.4,40.5,64.9,66.2,72.4,92.1,47.8,37.5,74.3,24.4,81.3,9.1,59.0,64.3,56.3,8.9,7.6,24.2,20.2,52.2,41.9,49.6,13.2,11.0,MH,Rural,Western Zone
312,Satara,601.0,606.0,87.0,74.7,1036.0,1029.0,64.0,48.4,84.8,100.0,35.4,24.4,64.3,70.6,68.7,91.8,31.3,23.9,75.5,27.7,96.0,1.4,61.0,65.1,70.9,0.0,1.5,24.3,33.9,57.8,47.0,32.2,14.4,11.5,MH,Rural,Western Zone
314,Ratnagiri,642.0,611.0,66.0,74.3,1159.0,1028.0,63.8,22.4,83.8,96.0,27.5,6.9,37.3,66.1,72.9,85.4,57.3,37.3,82.5,27.0,97.5,1.5,73.0,74.3,56.6,7.2,8.3,27.0,33.3,50.9,47.1,36.3,13.0,13.3,MH,Rural,Western Zone
