,District,Households surveyed,Women age 15-49 years interviewed,Men age 15-49 years interviewed,1. Population (female) age 6+ years who ever attended school (%),3. Sex ratio of the total population (females per 1000 males),4. Sex ratio at birth for children born in the last five years (females per 1000 males),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),29. Mothers who had antenatal check-up in the first trimester (%),30. Mothers who had at least 4 antenatal care visits (%),31. Mothers whose last birth was protected against neonatal tetanus6 (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),33. Mothers who had full antenatal care7 (%),35. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),39. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),40. Institutional births (%),42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),91. Cervix (%),92. Breast (%),93. Oral cavity (%),State,Region,Zone
1,Chamba,578.31,683.98,128.53,67.51,1139.7,951.38,75.05,19.99,73.71,93.08,47.03,9.03,44.17,56.23,45.34,85.72,36.6,18.67,45.79,17.32,55.6,3.81,63.94,51.94,32.23,6.11,5.53,29.37,19.86,67.01,50.63,18.84,4.79,19.18,HP,Rural,Northern Zone
2,Chamba,626.02,738.25,142.43,68.84,1128.31,936.33,75.7,25.38,74.95,92.58,48.44,8.38,43.03,57.17,47.54,85.19,38.92,21.25,48.02,18.67,56.9,3.61,64.56,52.12,32.58,9.12,7.64,29.9,19.06,66.33,51.23,20.32,5.25,20.99,HP,Total,Northern Zone
4,Kangra,1946.63,2077.83,365.15,83.37,1110.95,767.23,66.75,31.43,94.27,97.44,65.7,2.48,40.91,74.6,81.55,93.76,57.57,47.33,83.0,39.1,87.61,4.53,68.61,66.09,44.95,8.49,10.74,25.85,19.25,48.23,61.42,26.13,11.67,23.22,HP,Rural,Northern Zone
5,Kangra,2062.74,2149.72,398.45,83.39,1106.72,781.36,67.08,34.89,94.33,96.73,65.84,2.41,41.27,74.51,81.91,93.89,57.82,47.77,83.34,40.31,87.82,4.46,68.61,65.37,45.45,8.32,10.54,25.58,18.76,47.32,59.71,26.26,11.45,23.9,HP,Total,Northern Zone
7,Lahul &Spiti,35.11,29.59,8.12,65.69,993.65,786.6,52.5,59.87,80.91,90.98,51.86,13.78,58.74,71.4,61.49,90.67,46.01,29.7,62.55,36.65,73.32,3.28,58.89,51.6,42.74,11.55,9.8,23.03,9.64,94.71,83.23,24.6,9.31,31.95,HP,Rural,Northern Zone
8,Lahul &Spiti,35.11,29.59,8.12,65.69,993.65,786.6,52.5,59.87,80.91,90.98,51.86,13.78,58.74,71.4,61.49,90.67,46.01,29.7,62.55,36.65,73.32,3.28,58.89,51.6,42.74,11.55,9.8,23.03,9.64,94.71,83.23,24.6,9.31,31.95,HP,Total,Northern Zone
10,Kullu,500.65,572.35,144.57,73.15,1021.81,990.46,65.86,33.1,82.12,97.5,44.81,18.9,58.69,82.45,71.11,85.67,56.03,44.08,72.77,22.28,70.06,4.03,67.8,62.16,51.63,0.71,0.95,19.55,13.28,56.3,62.3,23.35,4.84,32.33,HP,Rural,Northern Zone
11,Kullu,551.89,616.92,168.87,74.18,1014.92,1008.53,65.15,37.79,82.33,96.83,46.41,17.77,58.27,82.11,71.26,85.21,56.3,44.33,71.81,22.94,70.48,3.86,65.68,61.87,49.74,0.64,0.88,19.0,13.38,54.91,59.47,23.82,5.69,32.64,HP,Total,Northern Zone
13,Mandi,1299.23,1358.65,260.81,74.21,1175.31,889.12,71.69,19.85,86.23,96.5,62.49,14.57,63.33,61.0,52.81,88.28,33.9,21.24,54.15,17.85,62.28,3.07,80.87,70.91,36.74,15.4,13.86,27.54,15.23,35.14,37.03,22.83,9.06,20.85,HP,Rural,Northern Zone
14,Mandi,1387.48,1471.62,306.52,75.44,1166.72,921.1,71.57,23.77,86.87,96.36,63.86,14.3,62.7,61.05,56.13,87.49,34.21,21.92,56.26,19.32,64.34,2.83,78.75,69.03,35.44,15.76,13.86,26.29,15.22,37.75,39.67,23.1,9.43,22.45,HP,Total,Northern Zone
16,Hamirpur,625.44,645.61,97.48,84.44,1249.99,982.69,81.21,21.65,97.7,99.18,66.31,3.2,44.63,69.87,73.38,86.06,54.85,39.79,81.86,32.39,90.53,3.87,47.65,79.87,40.86,16.06,17.17,28.78,13.49,40.69,35.96,20.76,13.49,33.46,HP,Rural,Northern Zone
17,Hamirpur,673.1,690.44,108.02,84.81,1224.98,954.11,81.04,24.29,97.75,99.26,67.64,2.99,42.96,70.13,73.56,85.17,53.82,38.95,81.22,32.93,90.9,3.72,45.94,80.36,40.12,17.02,18.85,29.31,13.64,41.21,35.78,21.88,13.37,33.48,HP,Total,Northern Zone
19,Una,679.03,774.47,148.34,86.12,1118.61,871.43,68.56,28.05,91.85,94.64,57.59,4.31,33.49,67.85,71.29,76.74,51.69,36.38,68.26,32.12,80.03,7.17,61.08,73.57,22.49,12.32,12.88,23.68,15.16,55.58,47.53,16.15,8.96,24.61,HP,Rural,Northern Zone
20,Una,735.3,828.4,170.85,86.07,1096.93,876.85,69.29,32.16,91.89,94.19,57.82,3.97,32.63,68.33,72.65,77.85,52.4,37.82,68.7,33.23,80.91,6.85,59.12,72.85,22.39,12.13,12.42,22.55,14.74,56.55,46.92,16.91,8.74,25.42,HP,Total,Northern Zone
22,Bilaspur,480.94,513.73,92.11,78.11,1098.31,917.24,69.77,14.24,92.16,97.81,60.1,14.22,50.75,72.61,59.02,75.49,55.47,33.96,75.53,21.61,82.43,2.42,59.75,76.12,41.97,8.72,9.96,28.23,15.86,28.98,39.42,13.83,7.3,18.22,HP,Rural,Northern Zone
23,Bilaspur,513.36,540.97,98.16,78.58,1085.68,914.68,70.27,19.12,92.14,97.27,60.49,13.63,50.23,71.75,58.79,75.36,55.41,34.06,75.83,23.17,82.86,2.31,58.3,74.78,40.45,7.98,9.17,27.2,15.74,28.32,39.05,14.27,7.24,18.54,HP,Total,Northern Zone
25,Solan,618.84,743.19,191.08,79.1,995.62,1091.73,65.24,35.52,85.77,97.08,51.07,9.81,71.5,70.76,72.56,81.88,50.96,38.76,70.05,30.89,72.2,5.13,78.73,58.52,40.64,12.17,9.54,31.32,16.86,70.0,66.74,25.88,9.52,30.71,HP,Rural,Northern Zone
26,Solan,832.77,917.11,280.71,80.91,931.43,1114.52,69.09,48.4,86.14,98.02,53.39,11.63,67.65,73.28,77.62,81.45,48.1,38.56,73.81,34.68,75.44,4.43,79.81,58.27,43.71,11.56,8.55,27.63,15.51,71.81,67.52,26.43,11.22,32.8,HP,Total,Northern Zone
28,Sirmaur,502.78,594.05,151.35,71.81,1007.99,811.68,66.63,29.83,80.83,94.61,45.52,9.2,56.64,69.61,59.14,90.53,47.53,30.16,61.25,17.74,75.96,0.38,70.12,57.36,49.08,5.25,5.09,24.7,21.82,63.89,45.39,20.31,8.38,21.67,HP,Rural,Northern Zone
29,Sirmaur,586.66,704.02,184.39,73.53,1015.35,827.64,69.26,38.16,82.05,95.58,48.62,7.56,56.78,70.72,59.77,90.56,47.26,30.5,63.63,18.47,77.78,0.33,70.58,61.6,52.1,7.38,7.63,23.47,19.27,65.1,48.04,20.76,9.03,21.01,HP,Total,Northern Zone
31,Shimla,801.18,879.6,206.99,73.02,1014.29,1228.93,69.76,55.28,82.63,95.88,56.79,9.16,65.96,73.83,74.63,85.31,50.22,42.96,71.56,37.45,74.55,1.24,86.42,57.28,45.91,12.95,11.84,27.37,13.61,74.32,71.7,32.49,10.63,39.23,HP,Rural,Northern Zone
32,Shimla,1106.66,1141.86,293.94,77.93,997.4,1232.94,73.99,67.19,85.76,94.93,63.46,8.94,64.67,78.23,78.89,85.39,54.31,48.27,74.45,32.35,77.34,1.06,87.33,52.53,46.46,16.31,13.74,30.3,14.12,69.97,68.64,30.46,9.96,35.61,HP,Total,Northern Zone
34,Kinnaur,113.92,100.1,24.66,71.17,1048.38,806.87,67.09,66.67,87.7,97.35,57.6,22.51,57.88,82.23,67.33,90.71,49.81,35.17,77.55,36.21,79.88,2.8,81.95,61.05,62.12,11.69,10.67,18.41,13.21,83.08,80.79,34.46,11.35,36.1,HP,Rural,Northern Zone
35,Kinnaur,113.92,100.1,24.66,71.17,1048.38,806.87,67.09,66.67,87.7,97.35,57.6,22.51,57.88,82.23,67.33,90.71,49.81,35.17,77.55,36.21,79.88,2.8,81.95,61.05,62.12,11.69,10.67,18.41,13.21,83.08,80.79,34.46,11.35,36.1,HP,Total,Northern Zone
36,West Garo Hills,829.0,1034.0,129.0,75.6,979.0,983.0,43.4,10.6,75.9,75.9,34.3,17.7,31.7,44.7,35.3,85.8,9.9,3.2,33.2,8.3,41.5,1.8,42.7,47.2,69.9,16.0,17.4,30.5,13.0,52.2,72.8,3.6,1.9,3.0,ML,Rural,North Eastern Zone
37,West Garo Hills,939.0,1195.0,156.0,77.3,988.0,1016.0,45.7,16.3,77.7,78.5,37.3,17.9,31.9,47.4,37.2,86.8,13.9,5.4,35.7,10.2,45.5,1.6,48.0,49.5,67.4,15.4,16.8,30.6,12.4,52.7,71.1,4.2,2.8,5.1,ML,Total,North Eastern Zone
38,East Garo Hills,792.0,1058.0,114.0,76.5,1058.0,1110.0,48.6,2.5,66.7,73.5,22.8,20.1,11.6,30.7,29.6,54.1,17.5,7.8,25.0,3.4,41.3,6.3,34.9,52.4,48.6,18.3,18.0,30.3,10.8,74.4,65.8,1.2,0.7,7.3,ML,Rural,North Eastern Zone
39,East Garo Hills,918.0,1235.0,136.0,78.6,1064.0,1094.0,51.8,6.6,69.5,74.9,27.0,18.7,12.4,32.6,29.6,57.3,19.6,8.6,28.2,3.2,44.2,6.6,41.2,53.7,50.6,19.0,18.7,31.3,11.2,75.4,65.8,1.1,0.9,8.7,ML,Total,North Eastern Zone
40,South Garo Hills,850.0,1214.0,148.0,85.7,1021.0,1120.0,84.6,7.2,86.0,96.6,49.7,10.5,19.8,57.0,50.4,93.3,50.3,23.9,85.4,0.7,88.8,0.2,82.6,76.2,36.2,35.3,36.3,17.0,3.7,77.2,46.1,5.6,12.4,14.9,ML,Rural,North Eastern Zone
41,South Garo Hills,935.0,1295.0,164.0,86.2,1021.0,1155.0,84.8,9.8,86.8,97.1,51.5,9.7,21.6,56.6,51.7,93.6,48.8,23.4,85.1,0.7,88.4,0.5,83.0,76.6,38.3,36.5,37.4,16.8,3.4,74.9,46.6,5.1,11.5,13.9,ML,Total,North Eastern Zone
42,West Khasi Hills,818.0,936.0,111.0,85.3,951.0,967.0,79.2,5.4,87.5,90.6,17.8,21.3,19.1,36.3,40.4,73.5,30.9,19.4,34.8,7.1,33.5,2.2,71.1,41.3,67.0,27.4,24.7,49.4,9.4,36.6,49.0,22.3,7.2,7.4,ML,Rural,North Eastern Zone
43,West Khasi Hills,921.0,1051.0,135.0,85.7,956.0,990.0,79.7,6.9,88.7,91.6,18.9,21.0,18.1,37.2,44.3,73.6,32.2,20.6,39.3,6.9,39.0,1.9,74.2,41.5,67.3,29.4,26.4,51.1,10.1,35.8,47.3,25.9,8.9,8.4,ML,Total,North Eastern Zone
44,Ribhoi,795.0,981.0,129.0,78.3,1000.0,1097.0,54.7,9.1,74.5,80.3,13.3,23.6,22.3,43.6,39.7,75.1,33.8,18.6,43.1,10.2,43.4,2.3,56.1,61.9,76.5,32.7,28.0,52.0,16.9,44.9,67.7,16.6,11.1,21.6,ML,Rural,North Eastern Zone
45,Ribhoi,903.0,1119.0,147.0,79.3,1007.0,1113.0,56.3,9.6,75.8,81.6,14.9,23.6,22.8,43.9,40.6,76.0,33.5,18.6,45.1,10.5,44.9,2.2,55.7,61.1,76.1,33.4,28.9,51.6,16.7,44.4,68.0,17.2,11.7,23.4,ML,Total,North Eastern Zone
46,East Khasi Hills,912.0,1149.0,132.0,93.7,1077.0,761.0,65.1,74.9,93.7,96.4,62.3,4.4,29.0,75.8,79.6,92.0,57.5,43.9,82.8,14.5,95.1,1.5,77.0,68.1,55.5,21.5,25.4,31.4,11.5,38.0,42.2,24.9,17.2,32.3,ML,Urban,North Eastern Zone
47,East Khasi Hills,876.0,1024.0,133.0,87.0,987.0,994.0,66.2,11.2,91.3,85.6,23.7,14.3,12.9,71.0,69.6,80.7,55.9,40.4,56.7,13.5,55.6,3.0,66.1,59.8,50.7,30.6,29.3,55.3,14.2,50.1,51.9,42.6,33.0,29.5,ML,Rural,North Eastern Zone
48,East Khasi Hills,1788.0,2173.0,265.0,90.3,1027.0,922.0,65.6,43.1,92.6,90.5,44.0,9.0,20.4,72.5,72.8,84.3,56.4,41.5,65.0,13.8,66.7,2.6,68.7,62.2,52.0,28.8,28.4,48.5,12.8,46.6,46.8,33.3,24.7,30.9,ML,Total,North Eastern Zone
49,Jaintia Hills,841.0,1009.0,122.0,76.9,981.0,1061.0,54.6,15.3,77.7,75.8,19.7,27.2,18.5,62.7,51.0,84.3,40.9,28.9,45.2,6.2,42.8,1.6,68.6,50.1,68.4,18.3,17.7,52.3,13.2,33.7,47.7,40.0,15.4,12.1,ML,Rural,North Eastern Zone
50,Jaintia Hills,923.0,1133.0,141.0,78.5,981.0,1029.0,55.5,21.6,79.6,79.1,24.7,24.7,19.4,63.3,52.7,84.2,43.2,31.2,46.7,7.2,44.3,1.8,68.3,50.4,66.0,18.0,17.9,50.8,13.2,33.3,45.6,39.5,16.6,14.1,ML,Total,North Eastern Zone
51,Kokrajhar,824.0,910.0,112.0,68.0,1009.0,852.0,37.5,14.4,63.7,76.0,19.6,41.3,36.8,44.9,37.2,86.2,25.8,15.8,56.6,20.0,65.4,6.1,40.5,31.6,74.1,11.6,10.7,31.9,22.3,41.4,51.6,6.3,2.2,1.9,AS,Rural,North Eastern Zone
52,Kokrajhar,885.0,980.0,125.0,68.8,1009.0,863.0,39.2,18.3,64.5,76.1,21.6,41.0,36.0,46.7,39.1,86.9,26.7,16.8,57.8,22.4,66.7,6.1,42.1,32.8,74.8,12.4,11.5,30.6,21.7,40.4,51.0,6.2,2.2,1.9,AS,Total,North Eastern Zone
53,Dhubri,806.0,873.0,103.0,62.6,949.0,832.0,29.3,8.2,55.4,64.8,13.4,49.8,28.4,34.5,23.7,69.8,11.4,4.8,20.4,7.5,40.0,13.2,16.6,31.3,62.3,8.6,10.3,48.9,32.2,43.3,51.3,8.2,6.2,6.8,AS,Rural,North Eastern Zone
54,Dhubri,908.0,994.0,115.0,64.9,957.0,861.0,33.0,16.7,58.8,68.0,17.9,48.3,28.5,36.3,26.0,71.4,13.0,5.5,22.1,7.0,43.6,12.3,20.1,32.7,61.6,8.2,9.8,47.4,30.8,42.6,52.5,7.5,6.6,7.5,AS,Total,North Eastern Zone
55,Goalpara,790.0,913.0,142.0,70.2,961.0,868.0,41.9,10.5,66.9,68.4,18.1,43.2,32.5,54.8,39.4,82.4,30.9,15.4,56.0,27.9,69.1,6.8,40.6,56.0,80.0,11.9,12.5,45.7,24.7,38.1,50.9,4.8,8.2,6.8,AS,Rural,North Eastern Zone
56,Goalpara,908.0,1043.0,160.0,73.4,986.0,851.0,46.2,21.3,70.7,72.0,22.6,40.9,33.9,57.5,42.1,83.4,31.6,16.4,58.8,29.3,71.2,6.5,43.7,56.9,80.5,12.3,12.7,42.7,24.2,36.0,49.7,4.1,7.4,6.2,AS,Total,North Eastern Zone
57,Barpeta,832.0,991.0,116.0,69.5,982.0,947.0,34.0,17.8,66.0,81.3,23.2,49.4,41.5,63.8,46.3,86.1,18.8,9.7,33.6,9.7,48.9,13.1,32.7,40.3,68.4,10.0,9.7,41.5,26.6,30.2,35.2,1.1,8.0,6.2,AS,Rural,North Eastern Zone
58,Barpeta,919.0,1092.0,133.0,70.5,982.0,906.0,34.9,22.6,67.4,83.9,23.9,46.9,40.2,64.3,47.5,86.8,18.6,10.2,36.6,9.9,51.9,12.3,34.1,41.1,68.0,10.0,9.7,41.7,26.5,30.2,35.5,1.0,7.4,5.9,AS,Total,North Eastern Zone
59,Morigaon,836.0,985.0,121.0,74.8,1020.0,1073.0,38.1,13.6,71.8,78.0,20.9,49.1,36.3,46.7,40.8,93.7,36.5,21.4,52.8,31.6,71.1,1.4,39.9,38.2,66.2,6.8,7.6,38.8,29.6,39.3,41.6,6.4,4.2,5.4,AS,Rural,North Eastern Zone
60,Morigaon,919.0,1073.0,143.0,75.5,1016.0,1081.0,40.1,18.0,73.0,79.3,22.6,49.0,36.7,48.9,43.1,94.2,37.9,22.6,53.9,32.5,72.2,1.4,44.4,40.4,66.2,6.2,6.8,38.4,28.1,38.2,41.4,6.9,5.5,6.2,AS,Total,North Eastern Zone
61,Nagaon,779.0,859.0,121.0,77.6,1003.0,1023.0,43.7,12.6,71.5,78.7,15.7,45.0,41.1,53.0,43.1,93.7,29.3,15.5,44.7,16.8,65.4,1.3,42.6,41.0,73.1,10.4,9.4,40.9,29.2,36.5,38.0,1.7,1.4,2.0,AS,Rural,North Eastern Zone
62,Nagaon,886.0,1006.0,139.0,79.0,1005.0,990.0,45.5,19.0,73.3,80.2,18.8,42.5,42.6,55.1,46.2,94.0,31.2,18.3,47.7,15.5,67.4,1.4,43.1,42.7,72.2,9.9,9.6,38.4,28.5,35.4,38.1,2.0,1.5,1.9,AS,Total,North Eastern Zone
63,Sonitpur,833.0,970.0,119.0,72.2,1006.0,952.0,60.1,16.2,65.8,86.7,20.7,27.0,45.3,53.5,42.2,96.9,40.2,18.0,54.7,25.2,88.0,2.1,43.6,58.3,66.8,9.5,9.0,28.8,22.0,27.8,49.3,1.9,4.4,3.1,AS,Rural,North Eastern Zone
64,Sonitpur,916.0,1073.0,136.0,73.8,1005.0,958.0,61.0,22.7,68.3,87.7,24.3,25.8,45.8,54.6,42.0,97.1,39.7,18.1,55.5,25.7,88.4,2.0,45.3,59.0,67.1,9.3,8.8,28.7,20.8,27.0,48.4,1.8,4.3,3.5,AS,Total,North Eastern Zone
65,Lakhimpur,815.0,967.0,124.0,78.6,1035.0,1024.0,48.9,12.8,76.8,85.2,36.8,28.1,38.0,69.8,58.9,94.2,44.4,26.9,66.2,30.8,81.4,3.3,53.8,47.0,76.0,11.3,10.5,31.0,21.9,30.9,37.4,1.7,2.0,3.0,AS,Rural,North Eastern Zone
66,Lakhimpur,897.0,1065.0,137.0,80.4,1044.0,1010.0,49.6,18.9,79.0,85.1,40.4,27.0,36.0,68.8,59.0,94.5,43.9,27.1,67.8,29.6,82.7,3.0,54.0,48.1,75.6,13.1,12.0,29.3,21.0,31.8,39.0,2.3,2.5,3.3,AS,Total,North Eastern Zone
67,Dhemaji,865.0,1028.0,129.0,74.2,1015.0,905.0,41.5,8.4,73.1,86.7,35.1,38.5,34.1,57.6,47.3,94.1,33.8,21.5,64.4,34.2,74.6,4.1,49.1,44.5,67.2,9.2,9.8,36.1,17.4,39.4,39.6,6.5,6.7,8.1,AS,Rural,North Eastern Zone
68,Dhemaji,932.0,1106.0,134.0,75.1,1014.0,887.0,41.4,11.0,73.9,87.2,36.1,36.7,34.0,58.6,49.1,94.5,34.9,22.5,65.9,33.7,76.1,3.9,47.0,43.9,67.9,10.8,11.3,35.5,17.2,38.9,39.8,6.7,6.4,8.0,AS,Total,North Eastern Zone
69,Tinsukia,738.0,909.0,138.0,62.4,1003.0,865.0,45.1,12.2,52.6,72.4,12.6,26.2,47.0,63.4,54.5,91.9,36.0,19.5,67.4,32.9,72.0,0.7,53.9,63.2,70.0,8.4,8.1,40.1,42.0,49.1,54.2,8.5,10.1,8.9,AS,Rural,North Eastern Zone
70,Tinsukia,925.0,1127.0,171.0,67.1,989.0,883.0,50.8,26.9,59.1,77.7,19.3,25.6,44.4,64.1,56.1,90.6,39.8,23.1,66.9,32.6,76.6,0.5,64.0,61.9,65.4,8.4,8.0,36.0,35.8,42.6,49.6,7.9,8.8,8.9,AS,Total,North Eastern Zone
71,Dibrugarh,733.0,892.0,130.0,72.9,1029.0,948.0,57.2,14.7,69.7,78.2,21.9,25.6,37.3,68.6,67.0,91.7,54.1,37.2,72.1,28.5,87.5,1.4,68.5,67.6,69.0,11.6,11.2,34.8,33.2,52.5,55.6,4.0,4.7,2.7,AS,Rural,North Eastern Zone
72,Dibrugarh,899.0,1093.0,160.0,75.9,1035.0,931.0,56.6,28.1,72.6,81.8,25.8,26.7,37.7,71.3,67.6,92.8,55.2,39.3,71.1,30.5,88.5,1.5,71.1,65.3,66.9,14.8,16.4,33.3,29.3,52.6,53.7,4.3,4.6,3.7,AS,Total,North Eastern Zone
73,Sivasagar,825.0,964.0,138.0,77.7,1015.0,1071.0,55.4,20.3,75.9,80.1,34.2,29.9,31.6,66.9,69.9,94.9,39.9,27.7,73.9,40.9,86.5,1.1,73.0,56.1,62.8,14.5,14.5,37.4,32.2,35.8,36.5,9.1,8.7,10.6,AS,Rural,North Eastern Zone
74,Sivasagar,926.0,1054.0,162.0,78.4,994.0,1002.0,55.5,26.4,77.1,81.9,35.1,29.6,31.8,66.9,70.8,95.3,42.6,30.7,74.3,40.4,87.1,1.4,73.0,56.9,62.7,14.0,13.8,35.5,31.0,33.5,35.2,9.5,9.4,10.8,AS,Total,North Eastern Zone
75,Jorhat,740.0,943.0,129.0,80.5,1005.0,764.0,61.6,21.4,80.0,90.7,34.3,21.6,31.4,81.8,72.3,95.3,65.6,48.0,75.5,39.4,96.5,0.0,61.5,51.9,70.0,4.1,4.1,26.5,29.9,39.1,42.8,5.1,5.7,5.2,AS,Rural,North Eastern Zone
76,Jorhat,920.0,1112.0,152.0,82.2,980.0,752.0,64.5,34.4,82.0,92.3,37.6,21.9,33.9,82.0,75.8,95.2,63.3,48.0,77.1,38.7,95.9,1.2,64.8,52.6,67.3,4.6,4.6,25.5,29.8,38.0,42.6,4.9,5.3,4.7,AS,Total,North Eastern Zone
77,Golaghat,844.0,979.0,127.0,79.8,1005.0,1097.0,58.1,9.3,73.6,82.3,26.2,27.9,31.3,51.4,61.7,93.7,44.7,29.9,78.9,37.1,87.9,1.6,68.6,64.6,80.3,11.7,11.1,31.6,27.0,34.2,46.5,4.1,2.1,3.0,AS,Rural,North Eastern Zone
78,Golaghat,928.0,1089.0,142.0,80.8,1016.0,1017.0,59.6,15.7,75.8,83.6,28.4,27.2,32.0,52.9,62.5,94.2,44.6,30.5,78.3,38.0,88.4,1.5,67.9,66.0,80.4,10.9,10.4,32.6,26.8,33.3,45.5,4.4,2.4,3.8,AS,Total,North Eastern Zone
79,Karbi Anglong,783.0,898.0,133.0,67.5,991.0,911.0,40.4,9.4,59.1,75.6,13.3,29.9,42.1,48.2,37.2,87.0,23.1,10.4,38.1,11.0,47.2,6.5,23.5,36.8,79.4,12.6,12.1,28.4,18.2,25.8,37.8,1.6,1.2,2.6,AS,Rural,North Eastern Zone
80,Karbi Anglong,907.0,1014.0,152.0,69.3,982.0,872.0,41.5,14.4,61.9,75.4,15.2,29.9,42.9,47.4,38.1,87.2,25.1,11.6,40.5,11.2,50.2,5.9,23.6,37.0,79.7,11.8,11.4,28.1,17.3,24.6,39.1,1.6,1.4,2.6,AS,Total,North Eastern Zone
81,Dima Hasao,639.0,657.0,105.0,67.2,941.0,961.0,54.1,4.4,63.8,78.2,17.6,26.0,30.2,39.3,26.0,83.6,30.0,12.0,40.1,22.0,47.6,3.2,55.1,40.6,62.3,5.0,4.8,39.9,16.0,31.6,40.4,3.1,5.7,6.6,AS,Rural,North Eastern Zone
82,Dima Hasao,916.0,984.0,151.0,74.1,969.0,953.0,59.0,24.3,71.8,85.5,28.4,20.8,29.7,44.8,35.1,85.9,34.8,17.5,48.5,24.2,57.1,3.4,59.8,41.9,60.9,5.9,6.6,34.7,16.2,28.9,39.8,2.9,4.2,7.4,AS,Total,North Eastern Zone
83,Cachar,743.0,867.0,133.0,74.7,990.0,960.0,30.7,16.8,70.5,87.2,20.9,20.8,29.0,37.3,51.6,88.8,17.9,11.1,62.0,25.4,69.7,4.7,41.9,56.2,30.7,1.2,1.1,37.8,35.5,31.9,53.2,8.2,2.6,8.0,AS,Rural,North Eastern Zone
84,Cachar,903.0,1044.0,162.0,78.0,992.0,942.0,37.3,28.8,74.9,87.7,28.2,18.5,29.1,37.6,51.3,89.1,18.9,12.3,63.3,26.3,71.3,5.2,45.4,56.9,31.5,2.3,2.1,36.3,31.5,30.9,51.0,9.6,2.7,10.1,AS,Total,North Eastern Zone
85,Karimganj,830.0,1048.0,123.0,79.2,977.0,958.0,35.9,16.2,76.5,89.1,16.1,30.5,31.7,45.3,38.2,96.7,17.7,5.2,35.2,16.3,45.9,1.4,52.2,67.0,29.0,7.7,7.1,44.0,31.9,24.8,43.2,12.6,5.6,10.5,AS,Rural,North Eastern Zone
86,Karimganj,911.0,1141.0,146.0,80.6,986.0,952.0,39.5,22.5,78.6,90.9,19.4,29.5,34.3,47.3,37.1,96.9,18.2,5.2,36.1,15.9,48.0,1.3,53.9,67.6,29.8,7.4,6.8,42.3,30.3,24.6,42.2,11.5,5.1,9.6,AS,Total,North Eastern Zone
87,Hailakandi,831.0,977.0,136.0,74.6,946.0,967.0,32.5,7.9,71.2,85.3,18.1,23.8,34.0,49.4,34.0,96.5,24.2,9.9,38.7,20.1,55.5,0.5,39.8,70.3,30.7,6.1,5.9,39.2,34.1,29.4,46.6,10.0,6.2,10.4,AS,Rural,North Eastern Zone
88,Hailakandi,911.0,1073.0,159.0,75.9,962.0,963.0,36.0,13.8,73.5,87.2,20.9,22.0,34.0,49.6,34.5,96.6,24.3,9.7,39.3,21.2,56.5,0.5,39.2,70.4,31.3,6.5,6.3,38.1,33.2,29.0,47.2,9.3,5.7,9.5,AS,Total,North Eastern Zone
89,Bongaigaon,763.0,858.0,115.0,71.7,950.0,874.0,40.7,16.8,70.2,84.9,20.0,42.0,38.2,53.4,24.5,88.0,34.5,12.6,46.4,14.0,65.9,3.8,39.7,51.9,67.8,14.5,13.7,41.0,20.2,33.1,49.2,7.5,4.2,2.3,AS,Rural,North Eastern Zone
90,Bongaigaon,904.0,1005.0,145.0,73.4,951.0,895.0,45.9,27.2,71.4,86.7,23.6,42.6,38.9,54.6,24.2,87.9,35.5,12.5,47.5,14.2,67.0,3.7,42.4,51.4,70.0,14.4,13.7,39.1,19.2,34.5,48.0,7.5,3.6,2.2,AS,Total,North Eastern Zone
91,Chirang,824.0,922.0,106.0,66.5,975.0,1153.0,29.9,15.5,62.3,74.7,19.6,34.6,30.6,61.2,41.4,86.8,34.0,11.7,35.1,11.3,59.9,3.8,40.1,47.5,76.1,4.7,4.4,39.4,21.9,36.8,49.3,0.5,6.2,6.4,AS,Rural,North Eastern Zone
92,Chirang,905.0,996.0,125.0,67.2,965.0,1106.0,32.6,18.3,63.3,78.1,20.2,34.0,30.7,61.9,41.2,86.3,34.3,10.9,36.6,12.6,59.4,3.5,40.4,48.8,77.4,4.4,4.1,40.1,21.9,35.6,50.3,0.5,6.2,6.4,AS,Total,North Eastern Zone
